feature,importance
cat__Surname_Wall,0.0005267179545087383
cat__Surname_Osborne,0.0005259807093968713
cat__Surname_Wallace,0.000525227892861314
cat__Surname_Lai,0.0005245905301307911
cat__Surname_Nkemakolam,0.0005217968594241852
cat__Surname_Romano,0.0005164897591274629
cat__Surname_Johnson,0.0005159773897084451
cat__Surname_Mitchell,0.0005146884216034369
cat__Surname_Trevisano,0.0005098114522053703
cat__Surname_Macleod,0.0005084303194411308
cat__Surname_Fu,0.0005049386304378336
cat__Surname_Pirozzi,0.0005033993495021513
cat__Surname_Nebechukwu,0.0005027686614342998
cat__Surname_Mazzi,0.0005019195453890865
cat__Surname_Ejimofor,0.000500823734826519
cat__Surname_Hsing,0.0004932254022313057
cat__Surname_Kirsova,0.0004923329361538924
cat__Surname_De Luca,0.0004889126181731809
cat__Surname_McKenzie,0.0004885535553544739
cat__Surname_Muir,0.00048790092799626315
cat__Surname_Chuang,0.00048616944855347827
cat__Surname_Watts,0.00048504308206773694
cat__Surname_Hunter,0.00048290964236397566
cat__Surname_Onwuamaeze,0.00048230549242368303
cat__Surname_Bailey,0.00048211906681848546
cat__Surname_Bruno,0.00047993232571955384
cat__Surname_Ch'en,0.0004794866246974182
cat__Surname_T'ang,0.0004789148142242575
cat__Surname_Hung,0.0004788897878650388
cat__Surname_Pisani,0.00047821799658294444
cat__Surname_Walker,0.0004737915047531314
cat__Surname_L?,0.0004728791591374513
cat__Surname_Palerma,0.0004682283778684172
cat__Surname_Stevens,0.0004678075714830533
cat__Surname_Tsao,0.0004668113012374312
cat__Surname_Lei,0.000466562241959845
cat__Surname_Ch'ang,0.00046636507648299897
cat__Surname_Marchesi,0.0004660476270974179
cat__Surname_Montgomery,0.00046598112417854627
cat__Surname_Sun,0.00046571749570276555
cat__Surname_H?,0.0004646420047143371
cat__Surname_Alexander,0.00046306423486702184
cat__Surname_Millar,0.00046122616476437745
cat__Surname_Hsia,0.000460347788564459
cat__Surname_Murphy,0.00045835145117793417
cat__Surname_Chiemenam,0.0004581814435731258
cat__Surname_Forbes,0.0004565230629598055
cat__Surname_Okechukwu,0.00045569552115499247
cat__Surname_Burns,0.0004539364328215672
cat__Surname_Dolgorukova,0.0004525798081960061
cat__Surname_Chiang,0.0004495449016885158
cat__Surname_Castiglione,0.00044680627745999254
cat__Surname_Hsieh,0.00044462456304694237
cat__Surname_Omeokachie,0.00044361097782860795
cat__Surname_Ts'ao,0.00044320941506522597
cat__Surname_Simpson,0.0004420443816415603
cat__Surname_Goddard,0.0004410370166983321
cat__Surname_Clark,0.0004400575764301008
cat__Surname_McDonald,0.00043817428964435965
cat__Surname_Padovesi,0.00043787340447856287
cat__Surname_Thorpe,0.00043500291585239835
cat__Surname_Otutodilichukwu,0.0004349822232745952
cat__Surname_Duke,0.0004336475060345298
cat__Surname_Craig,0.0004335855256028706
cat__Surname_Chou,0.0004324937394578022
cat__Surname_Efimov,0.00043005088107004566
cat__Surname_Angelo,0.00042742612315030073
cat__Surname_Pickering,0.0004266931778756543
cat__Surname_Tobenna,0.000424798653817485
cat__Surname_Golubov,0.0004245419341951502
cat__Surname_Chung,0.00042370384599309463
cat__Surname_Dubinina,0.00042341954960098345
cat__Surname_Reilly,0.0004231142840073418
cat__Surname_Iroawuchi,0.00042293253140958625
cat__Surname_Hu,0.00042183012355501745
cat__Surname_Zhirov,0.00042060259920840285
cat__Surname_T'ao,0.00041989170959121395
cat__Surname_Gibbs,0.0004198042995281053
cat__Surname_Henry,0.0004191775441507721
cat__Surname_Feng,0.00041483841680732526
cat__Surname_Ball,0.0004139962353705513
cat__Surname_Chinwenma,0.0004135079105963313
cat__Surname_Loggia,0.0004110792264266288
cat__Surname_McIntosh,0.0004071367662365294
cat__Surname_Pearson,0.00040682471266963215
cat__Surname_Hayward,0.00040561823080458053
cat__Surname_Collier,0.0004053163642840221
cat__Surname_Pagnotto,0.00040301841103321956
cat__Surname_Kao,0.0004023444589803936
cat__Surname_Edwards,0.00039950444676644113
cat__Surname_Kirby,0.00039786732815253573
cat__Surname_Giordano,0.0003969631804145336
cat__Surname_Chambers,0.0003962885736708308
cat__Surname_Chapman,0.0003960924709983563
cat__Surname_Williamson,0.0003954290941268227
cat__Surname_Hsu,0.0003944416305934078
cat__Surname_Zakharov,0.0003934148162041724
cat__Surname_Synnot,0.0003925575785045333
cat__Surname_Franklin,0.00039213769884807086
cat__Surname_Woronoff,0.0003906617407756859
cat__Surname_Pisano,0.00039065014944791995
cat__Surname_Cunningham,0.00039016889518133697
cat__Surname_Roberts,0.0003887132409195417
cat__Surname_Vinogradova,0.0003866496735608543
cat__Surname_Ross,0.00038435391077618194
cat__Surname_Neitenstein,0.000383881646033605
cat__Surname_Ugonna,0.0003835589236807038
cat__Surname_Donaldson,0.0003822807870461635
cat__Surname_Stevenson,0.000382081901224544
cat__Surname_Ferrari,0.00038131255332231486
cat__Surname_Thomas,0.00038037886221150544
cat__Surname_Alexeeva,0.0003803208392647773
cat__Surname_Kwemto,0.00038018336864482124
cat__Surname_Liu,0.0003800385213088931
cat__Surname_Chukwukadibia,0.0003793288175877593
cat__Surname_Hunt,0.0003784369426158652
cat__Surname_Humphries,0.0003780530802356612
cat__Surname_Chen,0.00037794380193222754
cat__Surname_Henderson,0.00037513756333411714
cat__Surname_Vasiliev,0.0003746903245614452
cat__Surname_Chiu,0.0003746067502391006
cat__Surname_Ricci,0.00037433856592172343
cat__Surname_Yevdokimova,0.0003732325813819026
cat__Surname_Eluemuno,0.00037197344780677896
cat__Surname_Davide,0.0003698383307499142
cat__Surname_Martinez,0.00036942954652911456
cat__Surname_Fallaci,0.00036934167037562646
cat__Surname_Storey,0.000369059172794806
cat__Surname_Liao,0.00036891942577943287
cat__Surname_Mai,0.0003683470434791687
cat__Surname_Taylor,0.00036785361387665455
cat__Surname_Holt,0.0003678489542099852
cat__Surname_Ch'in,0.00036706937677024736
